Name                ,       Total time (s),           Iterations,        Max mem (MiB),    Frontend time (%),   Frontend mem (MiB),       Synth time (%),      Synth mem (MiB),      Synth model (s),       Synth soln (s),       Verif time (%),      Verif mem (MiB),      Verif model (s),       Verif soln (s)
soln_4_a-a-r-r-a-a-r-r.sk,              1337.039,                     0,               41.6875,                 100.0,               41.6875,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0
soln_4_a-r-a-r-a-r-a-r.sk,               1239.48,                     0,               41.3125,                 100.0,               41.3125,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0,                   0.0

soln_2_a-r-a-r-a-r-a-r.sk,                13.139,                     0,               58.8125,             29.918564,               41.1875,                   0.0,                   0.0,                   0.0,                   0.0,             70.081436,                17.625,                 5.518,                  3.69
sketch1_2_a-r-a-r-a-r-a-r.sk,               165.434,                     1,                259.25,             5.7467027,               122.875,             1.2458141,             29.136719,                 1.257,                 0.664,             93.007484,               136.375,                73.847,                80.019
sketch2_2_a-r-a-r-a-r-a-r.sk,               299.967,                     2,               346.563,              4.983548,               133.625,             3.7304103,              75.68359,                 6.333,                 4.846,              91.28604,               212.938,                174.01,                99.818
soln_2_a-a-a-a-r-r-r-r.sk,                 9.968,                     0,               73.6255,              22.14085,               54.4375,                   0.0,                   0.0,                   0.0,                   0.0,             77.859146,                19.188,                 3.651,                  4.11
sketch1_2_a-a-a-a-r-r-r-r.sk,               225.536,                     2,              345.6211,               8.31885,              188.8125,              9.568761,              156.8086,                12.943,                 8.626,              82.11239,                145.75,               111.074,                74.119
sketch2_2_a-a-a-a-r-r-r-r.sk,               468.702,                     3,             563.09766,              9.647494,              275.6875,             18.600517,             287.41016,                  46.3,                40.862,              71.75198,                 227.0,               228.614,               107.689



lzsoln_2_a-a-r-r.sk ,                 7.213,                     0,               60.7505,              45.01594,               54.0625,                   0.0,                   0.0,                   0.0,                   0.0,              54.98406,             6.6879997,                 3.317,                 0.649
lzsoln_2_a-r-a-r.sk ,                23.532,                     0,                98.313,             13.356281,                54.125,                   0.0,                   0.0,                   0.0,                   0.0,              86.64372,                44.188,                  3.49,                16.899
lzsketch1_2_a-a-r-r.sk,               179.172,                    12,             294.03125,             21.410152,                239.75,              12.27089,              54.28125,                16.603,                 5.319,             66.318954,                11.375,               107.395,                 11.43
lzsketch1_2_a-r-a-r.sk,               100.243,                     7,              246.8086,             23.855032,              204.9375,             7.3142266,             41.871094,                 5.414,                  1.88,              68.83074,                 9.812,                66.492,                 2.506



soln_3_1.sk         ,                 0.779,                     0,               36.8125,             41.335045,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,             58.664955,                 5.125,                 0.448,                0.0090
soln_3_2.sk         ,                 0.808,                     0,               36.8125,              37.99505,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,              62.00495,                 5.125,                 0.492,                0.0090
soln_3_5.sk         ,                 1.105,                     0,               36.8125,             31.855204,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,               68.1448,                 5.125,                 0.624,                 0.129
soln_4_1.sk         ,                 0.772,                     0,               36.8125,               38.0829,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,               61.9171,                 5.125,                 0.449,                 0.029
soln_4_2.sk         ,                 0.968,                     0,               36.8125,             30.578512,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,             69.421486,                 5.125,                 0.492,                  0.18
soln_4_3.sk         ,                 1.535,                     0,               39.9375,              24.56026,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,              75.43974,                  8.25,                 0.519,                 0.639
soln_5_1.sk         ,                  1.01,                     0,               36.8125,             32.475246,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,              67.52475,                 5.125,                 0.452,                  0.23
soln_5_2.sk         ,                 3.225,                     0,               49.3125,             10.666667,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,             89.333336,                17.625,                 0.491,                  2.39
soln_5_3.sk         ,                13.007,                     0,               93.0625,              2.883063,               31.6875,                   0.0,                   0.0,                   0.0,                   0.0,             97.116936,                61.375,                 0.532,                  12.1
sketch_3_1.sk       ,                11.462,                     2,             72.359375,             21.331356,                53.125,             12.589426,             19.234375,                  0.24,                 0.188,             66.079216,                 5.125,                 7.536,                 0.038
sketch_3_2.sk       ,                11.754,                     2,              87.16797,             24.629913,               68.1875,              6.729624,             18.980469,                  0.34,                 0.438,             68.640465,                 5.125,                 7.618,                  0.45
sketch_3_5.sk       ,                34.034,                     4,             194.08203,              16.02809,                 79.75,             28.659576,             114.33203,                 4.388,                  4.34,             55.312336,                19.188,                12.606,                 6.219
sketch_4_1.sk       ,                11.986,                     2,              85.66797,             19.272484,                68.125,              13.98298,             17.542969,                 0.383,                  0.28,              66.74454,                 5.125,                  7.54,                  0.46
sketch_4_2.sk       ,                18.618,                     2,            123.578125,             13.465464,                  78.5,              6.676335,             45.078125,                 0.511,                  0.72,               79.8582,                 20.75,                 7.619,                 7.249
sketch_4_3.sk       ,                54.457,                     3,              158.6875,             7.7327065,               79.9375,             7.7216887,             53.148438,                 2.225,                 1.961,              84.54561,                 78.75,                 9.934,                36.107
sketch_5_1.sk       ,                16.506,                     2,              97.10547,             15.024839,                 78.25,             12.098631,             18.855469,                 0.561,                 0.422,              72.87653,                 9.812,                  7.59,                 4.439
sketch_5_2.sk       ,               193.923,                     3,                334.75,             2.1343522,                 80.25,             3.3539085,              70.88672,                 2.368,                 3.117,              94.51174,                 254.5,                10.181,               173.099
sketch_5_3.sk       ,               745.936,                     3,             1419.4995,            0.55809075,               79.1875,            0.94766843,              83.98047,                 2.993,                 3.056,              98.49424,              1340.312,                10.204,                 724.5
