"Psketch performance tests:  08/03/28"																
																
																
"Benchmark"	"Candidates"	"Control Bits"	"log C"													
"queueE1"	4	2	0.6													
"queueDE1"	1.00E+004	34	4													
"queueE2"	1.00E+007	75	7													
"queueDE2"	1.00E+009	107	9													
"barrier1"	1.00E+005	41	5													
"barrier2"	1.00E+008	177	8													
"fineset1"	1.00E+005	64	5													
"fineset2"	1.00E+007	92	7													
"lazyset"	1.00E+004	12	4													
"dinphilo"	1.00E+007	79	7													
																
																
																
																
"Name                "	"Iterations"	"Result"	"Passed full verif"	"Total time (s)"	"Synth soln (s)"	"Synth model (s)"	"Verif soln (s)"	"Verif model (s)"	"Max mem (MiB)"	"Synth mem (MiB)"	"Verif mem (MiB)"		"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Verif time (%)"
"sketch"																
"$N=3, T=1$"	2	"Sat"		11.46	0.19	0.24	0.04	7.54	72.36	19.23	5.13		21.33	53.13	12.59	66.08
"$N=3, T=2$"	2	"Sat"		11.75	0.44	0.34	0.45	7.62	87.17	18.98	5.13		24.63	68.19	6.73	68.64
"$N=3, T=5$"	4	"Sat"		34.03	4.34	4.39	6.22	12.61	194.08	114.33	19.19		16.03	79.75	28.66	55.31
"$N=4, T=1$"	2	"Sat"		11.99	0.28	0.38	0.46	7.54	85.67	17.54	5.13		19.27	68.13	13.98	66.74
"$N=4, T=2$"	2	"Sat"		18.62	0.72	0.51	7.25	7.62	123.58	45.08	20.75		13.47	78.5	6.68	79.86
"$N=4, T=3$"	3	"Sat"		54.46	1.96	2.23	36.11	9.93	158.69	53.15	78.75		7.73	79.94	7.72	84.55
"$N=5, T=1$"	2	"Sat"		16.51	0.42	0.56	4.44	7.59	97.11	18.86	9.81		15.02	78.25	12.1	72.88
"$N=5, T=2$"	3	"Sat"		193.92	3.12	2.37	173.1	10.18	334.75	70.89	254.5		2.13	80.25	3.35	94.51
"$N=5, T=3$"	3	"Sat"		745.94	3.06	2.99	724.5	10.2	1419.5	83.98	1340.31		0.56	79.19	0.95	98.49
"soln"																
"$N=3, T=1$"	0			0.78	0	0	0.01	0.45	36.81	0	5.13		41.34	31.69	0	58.66
"$N=3, T=2$"	0			0.81	0	0	0.01	0.49	36.81	0	5.13		38	31.69	0	62
"$N=3, T=5$"	0			1.11	0	0	0.13	0.62	36.81	0	5.13		31.86	31.69	0	68.14
"$N=4, T=1$"	0			0.77	0	0	0.03	0.45	36.81	0	5.13		38.08	31.69	0	61.92
"$N=4, T=2$"	0			0.97	0	0	0.18	0.49	36.81	0	5.13		30.58	31.69	0	69.42
"$N=4, T=3$"	0			1.54	0	0	0.64	0.52	39.94	0	8.25		24.56	31.69	0	75.44
"$N=5, T=1$"	0			1.01	0	0	0.23	0.45	36.81	0	5.13		32.48	31.69	0	67.52
"$N=5, T=2$"	0			3.23	0	0	2.39	0.49	49.31	0	17.63		10.67	31.69	0	89.33
"$N=5, T=3$"	0			13.01	0	0	12.1	0.53	93.06	0	61.38		2.88	31.69	0	97.12
