"Psketch performance tests:  08/03/28"													
													
													
"Benchmark"	"Candidates"	"Control Bits"											
"soln_4_a-r-a-r-a-r-a-r"	1239.48	0	41.31	100	41.31	0	0	0	0	0	0	0	0
"soln_2_a-r-a-r-a-r-a-r"	13.14	0	58.81	29.92	41.19	0	0	0	0	70.08	17.63	5.52	3.69
"soln_2_a-a-a-a-r-r-r-r"	9.97	0	73.63	22.14	54.44	0	0	0	0	77.86	19.19	3.65	4.11
													
													
													
"Name                "	"Total time (s)"	"Iterations"	"Max mem (MiB)"	"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Synth mem (MiB)"	"Synth model (s)"	"Synth soln (s)"	"Verif time (%)"	"Verif mem (MiB)"	"Verif model (s)"	"Verif soln (s)"
"remove() method of lazy, list-based set"													
"lazyset_2_a-a-r-r"	179.17	12	294.03	21.41	239.75	12.27	54.28	16.6	5.32	66.32	11.38	107.4	11.43
"lazyset_2_a-r-a-r"	100.24	7	246.81	23.86	204.94	7.31	41.87	5.41	1.88	68.83	9.81	66.49	2.51
													
"lzsoln_2_a-a-r-r "	7.21	0	60.75	45.02	54.06	0	0	0	0	54.98	6.69	3.32	0.65
"lzsoln_2_a-r-a-r "	23.53	0	98.31	13.36	54.13	0	0	0	0	86.64	44.19	3.49	16.9
													
													
													
"Name                "	"Total time (s)"	"Iterations"	"Max mem (MiB)"	"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Synth mem (MiB)"	"Synth model (s)"	"Synth soln (s)"	"Verif time (%)"	"Verif mem (MiB)"	"Verif model (s)"	"Verif soln (s)"
"Dining philosophers"													
"dinphilo_3_1       "	11.46	2	72.36	21.33	53.13	12.59	19.23	0.24	0.19	66.08	5.13	7.54	0.04
"dinphilo_3_2       "	11.75	2	87.17	24.63	68.19	6.73	18.98	0.34	0.44	68.64	5.13	7.62	0.45
"dinphilo_3_5       "	34.03	4	194.08	16.03	79.75	28.66	114.33	4.39	4.34	55.31	19.19	12.61	6.22
"dinphilo_4_1       "	11.99	2	85.67	19.27	68.13	13.98	17.54	0.38	0.28	66.74	5.13	7.54	0.46
"dinphilo_4_2       "	18.62	2	123.58	13.47	78.5	6.68	45.08	0.51	0.72	79.86	20.75	7.62	7.25
"dinphilo_4_3       "	54.46	3	158.69	7.73	79.94	7.72	53.15	2.23	1.96	84.55	78.75	9.93	36.11
"dinphilo_5_1       "	16.51	2	97.11	15.02	78.25	12.1	18.86	0.56	0.42	72.88	9.81	7.59	4.44
"dinphilo_5_2       "	193.92	3	334.75	2.13	80.25	3.35	70.89	2.37	3.12	94.51	254.5	10.18	173.1
"dinphilo_5_3       "	745.94	3	1419.5	0.56	79.19	0.95	83.98	2.99	3.06	98.49	1340.31	10.2	724.5
													
"soln_3_1         "	0.78	0	36.81	41.34	31.69	0	0	0	0	58.66	5.13	0.45	0.01
"soln_3_2         "	0.81	0	36.81	38	31.69	0	0	0	0	62	5.13	0.49	0.01
"soln_3_5         "	1.11	0	36.81	31.86	31.69	0	0	0	0	68.14	5.13	0.62	0.13
"soln_4_1         "	0.77	0	36.81	38.08	31.69	0	0	0	0	61.92	5.13	0.45	0.03
"soln_4_2         "	0.97	0	36.81	30.58	31.69	0	0	0	0	69.42	5.13	0.49	0.18
"soln_4_3         "	1.54	0	39.94	24.56	31.69	0	0	0	0	75.44	8.25	0.52	0.64
"soln_5_1         "	1.01	0	36.81	32.48	31.69	0	0	0	0	67.52	5.13	0.45	0.23
"soln_5_2         "	3.23	0	49.31	10.67	31.69	0	0	0	0	89.33	17.63	0.49	2.39
"soln_5_3         "	13.01	0	93.06	2.88	31.69	0	0	0	0	97.12	61.38	0.53	12.1
